White_dwarf_name,source_id,ra,dec,parallax,parallax_error,pmra,pmdec,astrometric_excess_noise,astrometric_sigma5d_max,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_mag,phot_bp_rp_excess_factor,l,b,bp_rp,M_G,bp_rp_error,M_G_error,age_H_f,mass_H_f,age_H_o,mass_H_o,age_He_f,mass_He_f,age_He_o,mass_He_o,vL_no_correction,vB_no_correction,vL_paper,vB_paper,vL_vsun_subtracted,vB_vsun_subtracted,vL_centered,vB_centered,MWDD_spectype,MWDD_wdid,MWDD_wdname,MWDD_ismag,region on HRD
WDJ102444.18-302100.43,5461296765091298048,156.18393740740143,-30.350216862613454,10.999946871251916,0.07780099802716951,-30.35366789227735,-22.713524262177103,0.32849699237586094,0.11502302,6106.1249682374355,7.396453403054538,16.223951,5478.3701058644365,27.535960605315022,16.004759,2000.1297226863678,5.733501237219802,16.509275,1.2247539,268.9714358685503,22.679289417898545,-0.5045159999999989,11.430903937801196,0.005786271503847762,0.014145704327081881,0.14854526254079342,1.1685969044484676,0.14781399147817348,1.1356148031747035,nan,nan,nan,nan,-5.066326764816364,-15.579210932848346,-2.795248028371689,-15.564749393328702,5.716490410033751,-4.418208240913691,7.486951204906875,-4.853545110997825,null,null,null,null,E
WDJ035440.15+050846.29,3273625554777257472,58.66725088710742,5.1461208470504465,8.847262482881234,0.09073669947572886,-11.274681483087651,-16.46270545953958,0.3806408691330809,0.1759433,5635.206362465797,7.753594214653806,16.31109,5223.714359357757,44.1975498012567,16.05644,1864.5069033508787,10.495900380803905,16.58551,1.2578459,183.8976586314406,-35.238516999235515,-0.5290700000000008,11.045134561120431,0.010162517765534333,0.020511813603653634,0.11742117293507529,1.1188515922015039,0.11021369811767055,1.090990532021592,nan,nan,nan,nan,3.1295363038913053,-10.253352311017675,2.7886407730096052,-10.019238788277653,-8.094988658003434,-11.338809190976004,-8.220224363293545,-11.21543691164132,DA,WD 0352+049,WD 0352+049,null,E
WDJ024900.96-183116.78,5129157117202633216,42.2543812107724,-18.52126230672142,17.82680739452003,0.12142172550351112,83.76092426772186,14.901261539714701,0.3734722781964229,0.1946116,5576.777584117366,8.30348374336971,16.322407,4674.685332375785,41.55639043592439,16.177008,2102.647267055175,25.47089699288376,16.455004,1.2152776,201.51417382778743,-61.653629613520586,-0.27799599999999813,12.57777486139207,0.015025596946275362,0.013622374754644648,0.607209688458036,1.1870754637160257,0.6679852074806826,1.1481058308519436,0.7265170050664829,1.1727601675454622,0.8103945373170207,1.1526799309918878,5.096171418325833,22.104859050357682,5.057069922365949,21.992324639797953,-2.033705871243808,12.54884944691077,-4.708327393818653,11.757577238433653,null,null,null,null,E
WDJ101420.66-041721.08,3780111080689647488,153.58589763095063,-4.289241326631874,14.139214628878563,0.09465033560640612,-39.75233384441091,-12.457114168586786,0.08816662749341259,0.14228547,5305.974938661894,7.609995007704006,16.376453,4517.889405665623,36.261156261672994,16.214048,1883.6151862638378,12.860033386300637,16.57444,1.206471,246.47927019037326,40.76325827778161,-0.36039200000000093,12.128579434922182,0.010537122294579938,0.013388344132366172,0.33580315154675827,1.1607767683451684,0.3560720693746842,1.1284495534103989,0.3388851492128637,1.1845163012898652,0.40289967857778697,1.16,-5.817118214393904,-12.739536342617404,-4.74657873520187,-12.387043264418168,-0.5200150725778947,2.612910523739358,-0.4240051871890298,3.2306015541122273,null,null,null,null,E
WDJ192347.58-232843.74,6770033150551933824,290.9484300778233,-23.47892122848493,14.249500969364496,0.11495864590056595,36.61159608535084,-24.409477282362975,0.527784507801264,0.19342107,5105.20216281262,13.326784520812526,16.418333,4639.365397569696,47.81502619183933,16.185242,1957.7371143737626,17.333961132563598,16.532534,1.2922314,14.893195563008572,-17.24939536026203,-0.3472919999999995,12.187331276092388,0.01358734852244417,0.01613511183973665,0.36054069070908656,1.1617259534353916,0.3872379325693852,1.1291205380710612,0.38328239818605425,1.18491034636012,0.45592449069851276,1.16,-2.802196709676744,-14.408420431915678,-3.00113492672417,-14.438694891936276,5.967484333441001,-3.656421659344943,7.296768254836904,-4.197106767643551,CND,Gaia DR2 6770033150551933824,null,null,E
WDJ182227.62+532331.99,2148495031195001728,275.61524879801283,53.39237719811191,13.412622782333731,0.06775077098147117,25.39451052411491,36.95147503994447,0.36595163305927203,0.12678567,4778.8331838839185,5.63011609300614,16.49006,4116.848694167122,25.611162759189842,16.314976,1667.8358842916057,10.36902161074519,16.706537,1.2104806,81.91580711389426,25.65554996692087,-0.3915609999999994,12.127628553135068,0.008795073457702009,0.010102538792145599,0.30305979053502213,1.1895818636023687,0.32494646943574557,1.1591183964548666,nan,nan,nan,nan,14.64153562442088,-6.173113073166825,16.36899176986041,-6.055736416285946,5.438385317030683,-5.676858651973339,7.82001354205293,-6.464832632554048,CND,Gaia DR2 2148495031195001728,null,null,E
WDJ092008.26-400400.80,5429478822734493440,140.03409709343464,-40.06666455205786,11.128454616591743,0.06214579088403025,-57.39645241358064,52.1249810446264,0.22733631225588724,0.10694135,4720.503240477651,5.385786990887348,16.503395,4175.59207023274,20.82305078043667,16.299593,1630.3454081829434,11.166208211283116,16.73122,1.2299404,265.0468324710352,6.77944657024663,-0.4316269999999989,11.735569295130361,0.008472145046091069,0.011168808792440102,0.22303307379036477,1.1452000076181856,0.22992780533048846,1.1118896687864743,0.19386247262410855,1.1649069342643876,0.1603094554020828,1.148271055616633,-33.06114967992563,-1.9224315475957456,-30.703533938243968,-1.8962612006363453,-23.138325347333335,6.552023501626647,-21.329734511319117,6.14591454840611,CND,Gaia DR2 5429478822734493440,null,null,E
WDJ170751.94+353238.72,1338455643596995072,256.96616745327236,35.54459070991708,13.309245593184684,0.06232056986808949,-46.35071535890783,116.37327552363007,0.35520191280317154,0.11512788,4667.347352728256,5.827188094942695,16.51569,3910.0995349593686,31.94200480833198,16.370918,1688.9495718051317,8.721036698965646,16.692879,1.1996212,58.827526916100226,35.54303172633305,-0.3219610000000017,12.136457195479133,0.009664205189138303,0.009365004114132843,0.38046199670430714,1.122824582009547,0.39724274774658647,1.0944842765146527,0.42583116368479706,1.1337604869272477,0.4501387817157442,1.1258560950927885,37.944713194493275,23.69921789218883,38.93310688277535,24.116357531485043,34.74436178436606,20.11653852959818,36.93539584096046,19.532745301675163,DA,GD 359,null,yes,E
WDJ070520.53-204642.21,2929364817693200640,106.33597691672708,-20.778717868065538,10.516506915967181,0.08628744229228018,98.8799529029031,-75.46465329150632,0.3017516667757499,0.15121144,4588.988727806665,6.1095948131406095,16.534073,4161.72003019319,22.731399505307472,16.303205,1552.1519881456452,6.996018137125349,16.784584,1.2451266,233.0355836733136,-6.390653253939357,-0.48137900000000045,11.643430558863049,0.007081626920079254,0.01640990549081848,0.17945895622024488,1.1835695820841279,0.1857525718414044,1.1509731020202276,nan,nan,nan,nan,50.52412972681521,24.661297495890352,51.7583246625321,24.532050242536428,52.09740303442619,29.814338372721355,52.7486637788983,29.19453424980949,CND,Gaia DR2 2929364817693200640,null,null,E
WDJ073504.07-794410.69,5208047381438507520,113.76709934993285,-79.73633561564304,10.243793726645995,0.05541973030288009,5.577378245192751,-7.689988403822486,0.25401742496023166,0.11641738,4347.897071411549,5.6893240132592675,16.592669,3986.2624124243416,31.073071818643808,16.349974,1489.3734808825577,7.620023705333616,16.82941,1.2593757,291.8239793160448,-24.751305500530197,-0.47943599999999975,11.644973123737259,0.00932409591737236,0.010820157410769247,0.18091686920294564,1.1816093800620475,0.18719633684465986,1.148885766182783,nan,nan,nan,nan,4.137639068246776,1.5201112427289807,6.369873241059339,1.9486238082680378,18.810349296831845,4.925080209180619,20.695425594723485,4.699370512326151,CND,Gaia DR2 5208047381438507520,null,null,E
