White_dwarf_name,source_id,ra,dec,parallax,parallax_error,pmra,pmdec,astrometric_excess_noise,astrometric_sigma5d_max,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_mag,phot_bp_rp_excess_factor,l,b,bp_rp,M_G,bp_rp_error,M_G_error,age_H_f,mass_H_f,age_H_o,mass_H_o,age_He_f,mass_He_f,age_He_o,mass_He_o,vL_no_correction,vB_no_correction,vL_paper,vB_paper,vL_vsun_subtracted,vB_vsun_subtracted,vL_centered,vB_centered,MWDD_spectype,MWDD_wdid,MWDD_wdname,MWDD_ismag
WDJ040336.13-331033.42,4883191104733786496,60.900408666803585,-33.17599500313305,7.53044161070079,0.12088978708526218,-27.33072947381838,-10.342497132705606,0.0,0.26255834,1278.1516822373876,1.7417599782034232,17.92191,1065.6985799865654,11.05390639989103,17.782303,464.328607523284,9.355622605067586,18.094856,1.1970623,233.36157177697248,-48.38027735424124,-0.3125530000000012,12.306012227263006,0.022661824046479734,0.0321069582196819,0.4294830114125227,1.1560429287746898,0.4657223008245418,1.1228124232961707,0.5063064691147677,1.1660085147219763,0.5623174673151361,1.151449690821556,5.0495128231969675,-17.74092480011567,6.217090977899069,-18.55019719721401,6.7149460259776665,-25.197334721758637,6.398455713466786,-27.20412207954378,null,null,null,null
WDJ200322.20-475001.99,6670826655916029952,300.84271977101787,-47.83400690117976,8.956846048942662,0.2225907442507981,33.272819084768464,-27.813949752036045,0.495989037687231,0.2881785,1271.654587522331,2.633629502421196,17.927443,970.4803749909792,11.953666563614398,17.88392,484.72911355042805,8.109000700831855,18.048172,1.1443434,351.41813489407974,-31.495191528157346,-0.16425200000000117,12.688218547934387,0.020774317590338466,0.04970292958804947,0.9041586265756157,1.12061374080785,0.9337741914485571,1.088729610338917,0.9629772175919444,1.0562917476753453,1.0291353479360372,1.0490169203384272,-12.532649603196468,-19.302964743779004,-12.701560437768874,-18.762221861702532,0.974440526854748,-8.587315183782096,4.227909955344828,-9.006907824948843,null,null,null,null
WDJ232227.23+394456.36,1923337589813789824,350.61343710933113,39.748920209884524,7.693664233770477,0.1465980984258266,-6.178750718704429,-15.634048661282064,0.0,0.19772774,1262.564111708447,2.416984489147979,17.935232,1167.101630631338,15.725554774848973,17.683617,460.9126436141968,7.019893010993967,18.102873,1.2894508,104.88913686227988,-19.98481140686003,-0.4192559999999972,12.36589814471062,0.020335068065467695,0.03810878509159542,0.32454851483693337,1.2561508914190391,0.39153955423837894,1.2174001408485444,nan,nan,nan,nan,-7.026646302640541,-7.648349488403578,-3.7568106175135267,-7.309309686342402,-20.74071404556004,1.927688219050542,-17.365206997181073,2.326055754081635,null,null,null,null
WDJ034433.10-232317.62,5087142029127543296,56.13802147753025,-23.3881395312295,9.620024101533646,0.16664271696720187,19.840441775117384,20.680123874526636,0.22950067093988388,0.30552593,1261.788422311781,1.6389796873423972,17.9359,968.3779481875324,10.68905110609909,17.886276,517.209321518212,4.374432947763089,17.977755,1.1773664,217.34803708254626,-50.86921030521003,-0.09147899999999964,12.851780800495696,0.01390587436696599,0.03464496870452441,1.2816766254821113,1.1097890328711628,1.2503530876301827,1.0815332391227956,1.2246095375079444,1.0344951391563362,1.2637237963271963,1.0296413490423324,-7.372934817719429,12.089577960432885,-7.05967183596381,11.549511955173632,-10.239310187587567,4.076921407940263,-13.761358250325321,1.4388494049976615,null,null,null,null
WDJ190501.71-394757.34,6717520818806767872,286.25715412293806,-39.79937566293222,7.237129635026962,0.19240138166621237,7.180730303287877,-26.42182602586972,0.4585263603683031,0.32964304,1259.9705202913578,2.5319749430665444,17.937466,1118.6977181634636,17.18320507818191,17.729607,475.86667898139376,9.908667685882511,18.068207,1.2655569,357.3395792988568,-19.414510330668286,-0.33859999999999957,12.235297759960885,0.0258747083609208,0.053170632935745546,0.38016328799303034,1.1643809196860637,0.4119686607225516,1.13164584696299,0.42135914185792234,1.1868032828670496,0.4983991576186524,1.16,-14.764054278585284,-10.267524012546232,-15.159877077550853,-9.92509286570435,-2.2664075611959538,-0.19824127047190565,-1.1197814008171936,-0.5175825425486322,null,null,null,null
WDJ211412.59+373812.24,1868704437591675904,318.5526456849015,37.63678347579091,7.184243632050167,0.11354756040395307,33.97170578387825,11.761924790062128,0.0,0.17880018,1237.1717541149562,1.9445830872346275,17.95729,1055.343580274656,10.314330566530908,17.792904,429.93047939387475,12.246877065159756,18.178425,1.20054,82.47430873104483,-7.628619317780371,-0.38552100000000067,12.239195258511232,0.03011570953772534,0.03161016419248299,0.3288012805204511,1.207320110621293,0.36587824479545955,1.1733785268969026,nan,nan,nan,nan,21.05464123823404,-11.066704954690376,24.62013533767381,-11.135630155997998,11.721041545468914,-2.358111344407086,15.958077590852088,-2.754600056792061,null,null,null,null
WDJ173708.52+242024.77,4557629495620225792,264.2853099596985,24.339873434716008,7.409918328457359,0.1424029669103278,-36.63544920738441,-79.14625579485741,0.8532821620287835,0.21114428,1233.373163155182,1.8043682324546049,17.96063,1080.4187506590756,11.271484770535126,17.767408,455.27684340326266,5.9606468152305965,18.116232,1.2451184,48.12085577196091,26.501754985439128,-0.34882400000000047,12.309697106228779,0.016740584555779897,0.03843577232516518,0.3842568553540655,1.1905712041472336,0.42345112658083806,1.1592261217559576,0.48328922600061525,1.2000000000000002,nan,nan,-55.70299255927385,5.213004417564398,-54.449071373162255,5.873571773069488,-55.88235407567434,4.213869826019565,-53.173760498378165,4.037220514531878,null,null,null,null
WDJ021409.34-121202.14,5151170778804482816,33.53887759154596,-12.200766242745953,6.572691563254244,0.2303173995629112,-7.873353070160821,-40.04994611679093,0.4381850082957802,0.29137903,1232.2336248059644,6.260214913415328,17.961634,1137.394221938545,33.31846819154778,17.71161,478.3797207747772,20.752594823139077,18.062489,1.3112562,179.3830630015479,-65.53394613460077,-0.35087899999999905,12.05035026309084,0.05234531404567216,0.07008313028121994,0.33301342162357905,1.1318047606555108,0.34913223591306447,1.1002288596429723,0.3400696856903595,1.1506324993950359,0.36947260869016196,1.1413679150783742,18.27171305773601,-23.18354081959854,18.062040008935455,-22.7918908728818,6.1539675837550565,-30.178550519127974,4.69202323265471,-29.526574165091528,null,null,null,null
WDJ231015.70+552614.51,1996767889769661184,347.56541238760684,55.4372973226611,6.2961932665444715,0.15838972177609884,-2.23564827627702,-15.55070563171515,0.38385819795444426,0.22205506,1222.6470347037914,2.4228536279932453,17.970114,1113.0896773265858,18.975690801770398,17.735064,442.9264990676154,10.577408935428101,18.146091,1.2726618,108.85707638092198,-4.645229835947371,-0.41102699999999714,11.965504252810923,0.029341363801358853,0.050312852566874136,0.26348465119622483,1.1740625013575305,0.2789794425550488,1.1421264541013763,0.20880358537937369,1.1999999999999997,nan,nan,-6.039151188126029,-10.208181008499592,-1.9294225930138778,-10.078336947031616,-20.327259248853,-2.599433480912121,-16.02865190432194,-2.887449830964044,null,null,null,null
WDJ161854.13-355426.51,6021870154194477312,244.72542984830108,-35.90743624667402,6.334405445541951,0.19470015352907094,-22.578364008821872,-16.644460538550305,0.21372936087565525,0.34649584,1219.4058503230876,6.491964511235267,17.972996,1091.5887235239113,21.897972349963265,17.75624,422.4206600383211,15.651196867268858,18.197557,1.241596,343.2776062440133,10.236349921461093,-0.4413170000000015,11.981525288806086,0.04213337909847821,0.06147385266160936,0.2400526336368598,1.2089505137340557,0.25982726348387136,1.1758912756317954,nan,nan,nan,nan,-20.792791689114466,3.274084842651884,-20.653431611685356,2.8764607977969403,-6.135186953236501,8.904131671531353,-5.403088882432096,8.13889110042305,null,null,null,null
WDJ000555.90-100213.55,2428675569186550784,1.4832881447112514,-10.03699960490316,6.4961238285233875,0.21339067544163362,83.63726570201631,22.531307792710276,0.3261079699834455,0.34382954,1214.9634451012137,4.359633045310045,17.976957,1052.3435863874593,16.887518688545473,17.795994,425.6563258647091,12.813985090355924,18.189272,1.2164974,88.66380265449678,-69.82109920487937,-0.3932779999999987,12.04022847397028,0.0341141901025812,0.06569784723150475,0.28894451287979983,1.171775402404959,0.3069682329707992,1.1402246989612475,0.2430580078678019,1.2,nan,nan,61.07153693485409,-16.952872502823467,62.5070857867157,-16.98327035838743,50.35435524110911,-3.037062107602308,52.31390560820041,-2.279576429277549,DQ,PHL 657,WD 0003-103,yes
WDJ080231.30-292247.03,5597489314760540544,120.63036027267458,-29.37981474608831,7.34160341788907,0.13546677129318083,-13.283548580882346,-19.546452087798144,0.28689287066993047,0.17649408,1206.3983957921723,1.8153016769463648,17.984638,1026.5444122195943,11.620673174331614,17.822945,429.35937959384006,9.943783784837686,18.179867,1.2068185,246.845688113811,0.7445503648202754,-0.35692200000000085,12.313592604412294,0.025778146578574482,0.036903865159235626,0.37429535075418446,1.1989830686287446,0.4184861358094638,1.1653498822947754,nan,nan,nan,nan,6.162835627043728,-14.005248751714891,8.90791805803582,-13.987597413141637,11.558270298421476,-6.806261469318637,13.215231326516083,-7.272028657451465,null,null,null,null
WDJ062326.89-042718.19,3116503861402179328,95.86199611691903,-4.454805076352819,6.47461216837177,0.19665312365911936,-10.974801491655237,57.600180774763984,0.4865637559572422,0.36424172,1140.2006025902097,2.565478023371378,18.045912,992.5351243310148,27.710278584287195,17.859524,418.67959179933587,7.767441580295019,18.207216,1.2376899,213.72771559814115,-8.251203357398097,-0.34769199999999856,12.10198079567336,0.03352071772759601,0.060745916062667736,0.3451213992727702,1.1418182886675903,0.3627265235532171,1.1094649235441145,0.3573790996035325,1.1588143526624863,0.3898155339708861,1.149681456046792,-41.37812102883295,11.873459633041866,-40.907572172774486,11.662787160631549,-45.25063377185801,16.531835494011915,-46.161200999347734,15.780290150521063,null,null,null,null
WDJ084424.09+613309.98,1042183916142369024,131.10023239233138,61.55264366211366,6.272064351373835,0.13810874685218247,-15.816344890941025,-29.983961557147506,0.36224734131193226,0.20407236,1138.0864954246845,2.0255453673636756,18.047928,984.8114268234469,12.053742198270056,17.868006,415.9649076718635,5.685423398201564,18.21428,1.2308171,154.62144985298002,36.97942320907699,-0.34627399999999753,12.034980527800906,0.01834731916875343,0.04403932712263422,0.3353369321314535,1.122779290375105,0.34973620342254097,1.0942281178393538,0.34632825265278133,1.1401530889874911,0.3739400344671117,1.1325607197836718,24.59931000020987,-7.410468264655973,25.197854642094875,-8.726228870961815,9.04279414394215,1.0659953912789808,8.71648830057703,-1.245986997305006,DB,SDSS J084424.07+613309.8,null,null
WDJ103559.96-413245.95,5392361131241898496,158.99971032553324,-41.546125955230174,4.908008358889168,0.15360146888974885,-21.540084710923242,-6.650352271023878,0.4139438234872271,0.20906481,1128.1981475084815,1.6352934814433555,18.057402,1005.2279744073995,8.35541544284058,17.845726,387.7712716102035,5.472114510626559,18.290482,1.2347115,277.4168353301233,14.519058639319757,-0.4447560000000017,11.511928468539248,0.016377697071676977,0.06259217900945611,0.1968772604016109,1.1054160726597173,0.19864716422258644,1.0823726630100006,0.15626652884321393,1.1228682445729086,0.13289903515308527,1.110458108398705,-14.617604446047974,-16.217367019777544,-9.191612699382098,-16.421277454126443,-2.160594709474813,-6.813649233492551,2.820005640046306,-7.388298277802925,null,null,null,null
WDJ174203.78+515935.48,1368425616149055744,265.5158773676554,51.99340621884819,7.67642819029734,0.13163397825136589,16.290952352065197,50.66823423971543,0.057341989368462194,0.22756988,1113.71727519464,2.263425792100042,18.071428,946.8716652106506,10.853081353303613,17.91066,411.5681117460214,9.513773557245155,18.225815,1.2197349,79.34828827843663,31.5102414091205,-0.31515500000000074,12.497223958181168,0.025801626033724517,0.03429563202786038,0.5061391620605112,1.2010754002762203,0.5701342123226081,1.163053532695154,0.6388264477694046,1.2,nan,nan,32.11188450844792,-7.412177373471171,34.88750036312877,-7.1080210015215535,23.519487295024316,-8.670757304611314,27.203703122879087,-9.903966215956235,null,null,null,null
WDJ090621.65+380956.28,719001650183616768,136.5900306266129,38.165663115538536,7.206265477922845,0.21429667899594204,-34.28585611837113,7.1368876461251,0.0,0.3051321,1110.0368717548777,2.07150491547138,18.075022,943.6406851060709,12.62923169708222,17.914371,432.2176492463045,8.690376517967485,18.172665,1.2394708,184.71293627157763,42.09197525275961,-0.25829399999999936,12.363573287179484,0.024153450552638754,0.05947509973160509,0.5198387184967911,1.1176485583642004,0.5581770341878467,1.0903030887334646,0.6394403937280262,1.0890388131243482,0.6995000870455412,1.0732114906973553,-6.314469486532436,-22.220357434839432,-6.697280647199893,-22.4930890413901,-17.370097015628204,-9.016337756866317,-19.995224549937856,-9.872485677307905,DA,SDSS J090621.63+380956.2,WD 0903+383,null
WDJ232029.82-175734.43,2405493294227579392,350.1241701308792,-17.95961909171746,4.520785866702956,0.171106053025005,-18.25009598099547,-12.557862741358244,0.0,0.30935475,1098.6779089923668,6.082256993994413,18.08619,980.6564525361382,38.983412201049774,17.872597,367.1427543712145,11.548657157048773,18.349833,1.2267464,51.799101202286195,-67.13768631066363,-0.4772360000000013,11.362259682802826,0.05069219484941694,0.07569748184060485,0.16706235696217941,1.1117343810960558,0.16825637163355978,1.0857315780783385,0.12260743032044763,1.1282467118550232,0.10336078287652743,1.1127167063612498,-20.612450039543326,10.848193414823887,-19.547914648314627,9.872310097842522,-21.835720476823234,28.525383759686754,-20.263774470701833,27.204375740305835,null,null,null,null
WDJ132858.22+590851.11,1662221475346089984,202.24178963225933,59.14750586349304,6.6601845038254375,0.11532915689797023,-92.43110879743801,-5.510330425136355,0.2793810092394262,0.199214,1079.8745767229132,2.004370170280039,18.104933,938.0813647661596,11.849196227056735,17.920788,391.4914182780083,7.8922130254917615,18.280115,1.231229,114.02305532739322,57.326898911039365,-0.35932699999999684,12.22236430192011,0.023789691643587144,0.03463242101828505,0.3526931611978842,1.180779896058853,0.3807282961897772,1.149652933627773,0.39557849686620283,1.1999999999999997,nan,nan,62.483642870701566,21.517266728556915,64.4701800808576,20.661731198682787,47.55119343525074,19.83950122922638,49.417778065196586,17.45365831545487,DA,WD 1327+594,WD 1327+594,yes
WDJ094458.81+040048.51,3848213662682651520,146.24490050669542,4.013472445764764,7.047813132185669,0.4203347248756781,-31.9261644933628,-0.5234506743480388,0.0,0.49366048,1070.6344968096087,3.684383937329911,18.114264,920.47758127363,12.343728840531346,17.941355,385.332988605572,8.967377412428368,18.297329,1.2196605,231.9694221332569,39.92248801627223,-0.3559739999999998,12.354535902717677,0.0268590135822061,0.11928089380125882,0.38894055505251524,1.2058970926821029,0.4383481112324158,1.1707751060717837,nan,nan,nan,nan,-11.272013546263928,-18.349623843196582,-9.914015773219642,-17.48926502062027,-10.000493989985705,-2.5662033347436513,-10.077832511108733,-1.43243934464307,null,null,null,null
WDJ082846.36-341638.85,5543590503156594048,127.19324875760817,-34.277553775192494,6.444563713507369,0.12979427482438258,12.272308197320175,-22.002671060968822,0.25677849403317676,0.20826189,1045.9850164287993,1.7237417292526551,18.139551,917.4177802123722,8.187824986920381,17.944971,373.9917442189196,11.052598212293429,18.329765,1.2346349,254.018729570524,2.648998964743675,-0.3847939999999994,12.185518608268856,0.03087128312208707,0.040280236364904756,0.31882195002315517,1.1962278767989287,0.347614725013687,1.1642391121627482,nan,nan,nan,nan,18.459970675609817,-2.1285891550556517,22.05395949729227,-2.074758957825206,25.730962567829085,5.537075074754837,28.50013858535211,5.140613320499618,null,null,null,null
WDJ091309.97-123541.47,5732991787732781440,138.29150512433588,-12.59485337980738,5.867148092366879,0.3710806502495508,-9.781016002843856,0.14732492202276848,0.16840919725256911,0.96603197,1036.5622602483907,1.5726163951688907,18.149378,858.5910192043777,9.860748175933567,18.016922,362.3384914356699,5.6191602971838845,18.364134,1.1778642,242.54943229147574,23.83556103587971,-0.34721199999999897,11.991513251790746,0.019297669060665556,0.12649438684948972,0.327297103132596,1.112450107210918,0.33915282981999206,1.0873944031310048,0.3328368589632361,1.1293974878167108,0.35931358645156847,1.12321996900068,-4.92446387590145,-6.209431697986262,-2.105850383672336,-5.5127590736114715,-0.6947642094865376,6.54607676374875,1.1241025192000382,7.124813313340715,null,null,null,null
WDJ140750.66+301130.42,1453322271887656448,211.96097536480588,30.191684661531383,6.807473680959228,0.155671210583829,-24.39430624984824,-22.927466630380593,0.0,0.30519998,1031.868147557893,1.7643256517839472,18.154305,869.1645364008331,9.025759264678397,18.003633,375.6516874701744,7.1519913531272135,18.324957,1.2063714,47.809441805170344,72.98258612332371,-0.3213240000000006,12.319234854734068,0.02168675365971893,0.04573538375014141,0.42434072920420207,1.1671241909601457,0.46393044651621973,1.1337857428623073,0.4951322455431935,1.1842948442504992,0.5676402900868827,1.16,-14.255375100947829,18.52607678581312,-13.816286936336141,19.029242654166858,-14.346261144049107,5.008889478040334,-12.323440820790434,4.406927202072005,DA:H:,SDSS J140750.65+301130.2,null,null
WDJ093502.02+442940.90,815134799361707392,143.75873225185342,44.494561642330574,6.069906068577821,0.22726677517734245,54.71924859334558,-31.00423077877868,0.5513732018542,0.3265641,1030.0796043503328,1.9275882424660387,18.156189,911.852526770973,13.647007015155058,17.951576,389.1440048422249,6.798001487505742,18.286644,1.2630059,175.62887039849045,47.326159111444824,-0.3350679999999997,12.072098852234635,0.023003443999170727,0.0748831275507995,0.35362390568149404,1.1202668992184521,0.3678670078791968,1.0926801293995112,0.3754852933095033,1.132361581237629,0.4022070191896159,1.1276846723098461,18.841404842074947,45.50460291420213,18.535890415963248,44.783066868788836,6.037926625185084,57.64087718179749,4.421833719350673,56.13809042814939,DAH:,US 736,null,null
