White_dwarf_name,source_id,ra,dec,parallax,parallax_error,pmra,pmdec,astrometric_excess_noise,astrometric_sigma5d_max,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_mag,phot_bp_rp_excess_factor,l,b,bp_rp,M_G,bp_rp_error,M_G_error,age_H_f,mass_H_f,age_H_o,mass_H_o,age_He_f,mass_He_f,age_He_o,mass_He_o,vL_no_correction,vB_no_correction,vL_paper,vB_paper,vL_vsun_subtracted,vB_vsun_subtracted,vL_centered,vB_centered,MWDD_spectype,MWDD_wdid,MWDD_wdname,MWDD_ismag
WDJ015752.92+694650.74,521537917409410432,29.471173816889323,69.78067068605958,5.687321283735216,0.28402962469481946,52.614141023210465,-21.063650957692197,0.0,0.45331806,397.48727630653696,1.1072921220728358,19.190058,298.7499961580497,6.238966195676211,19.163118,158.4315970604352,6.550205469128215,19.262316,1.1501791,128.65341915481403,7.650444792209333,-0.09919799999999768,12.964596813858073,0.046319054007549355,0.09988168788955058,1.3551239154942503,1.1464480825194696,1.3223774974950402,1.1035058234536785,1.28783712000248,1.0711728876814708,1.3662988895142323,1.0611225552930847,47.019477551877564,-5.725676744461372,50.22309852991421,-6.1322033873844894,30.933858818386444,0.8791152653186158,31.63553329083041,-0.5459781440364629,null,null,null,null
WDJ195536.56+402359.97,2073593649120643584,298.90254748551706,40.39998153887686,6.091242450968946,0.2469611270488282,40.99951597015878,-2.2060725332096363,0.0,0.44690752,397.45093742084373,1.2291123379204962,19.190157,334.6711390242511,10.741368129459655,19.039843,158.1460516866481,10.429913636976403,19.264275,1.2399447,75.52286295129376,6.213082667551364,-0.2244320000000002,13.113686430787663,0.07334617719839633,0.08108727539142481,0.9823189811709742,1.2526576199266373,1.0548121666892474,1.2036056946455982,nan,nan,nan,nan,14.824782509074128,-28.404611150642783,18.699034356629678,-28.282612937139447,7.173984228195923,-23.00082084230973,12.507464197101177,-23.771092517180655,null,null,null,null
WDJ075404.93-420859.88,5534104088625921536,118.52036164086715,-42.14986819631327,6.130997410439538,0.2934358112345921,-27.747787993605623,23.144655735186333,0.0,0.47510412,395.8402296827998,1.2570310687233353,19.194567,284.82786086486027,12.98331282134668,19.214931,164.84443576999345,8.458622026073018,19.219234,1.1359944,256.89571763834886,-7.3471852651776395,-0.004303000000000168,13.132222663467635,0.06863534119641891,0.09572204703102472,1.7482942201513028,1.1137375772747444,1.664216033299512,1.0834115370996766,1.6255216640566972,1.0363272881955568,1.6701718859495494,1.0312552367804548,-26.334295072503977,-9.554620335399777,-22.417316255340367,-9.685529381855007,-18.341435041260265,-4.425641168407003,-16.147596773617316,-5.717035211969025,null,null,null,null
WDJ001539.20+303814.93,2860848961060288000,3.9133058726669616,30.637437179655816,6.50532780488092,0.39503705267981587,-4.4297562283986744,-10.006197214611774,0.0,0.8234608,395.7928223011849,1.4701171052209658,19.194696,303.98259004472976,6.692375997836603,19.144266,173.3309188203901,6.0443593670584566,19.16473,1.205968,113.89325382151883,-31.60548506381069,-0.020464000000000482,13.26104192821131,0.04123991771958223,0.12145031412050326,1.783487755125675,1.159653386412668,1.6875456094500918,1.1156471468033529,1.6550070386387377,1.0836463554678502,1.7564534610784415,1.0719665363813367,-4.3818436763289546,-6.688215912356753,-1.1677523486805232,-5.831827246825608,-19.299569086086134,2.688474099412749,-17.85791937626496,5.8627679829855515,null,null,null,null
WDJ182811.37+205000.19,4528933302988697344,277.04718410542665,20.833523278232082,5.7543016638172775,0.33607551111322587,-37.321153410869904,31.89158951447378,0.6611780078800473,0.63979006,393.02112615427404,0.9509408804900464,19.202326,336.2200209732919,6.079363163942468,19.03483,157.0985708058449,5.693414561073185,19.27149,1.2551961,49.31551188904186,14.265085462483063,-0.23666000000000054,13.00228912814094,0.04050127455303995,0.11680844375137633,0.9114964401344938,1.2405369424337902,0.973851813897325,1.1923836907461043,nan,nan,nan,nan,11.530640196341558,38.87789410248038,13.388754635719312,39.38864827862103,11.011938340369207,41.65285402077369,15.635002681996362,41.07549322796107,null,null,null,null
WDJ094225.66+401105.32,801416776897466752,145.60694928921168,40.184750144748804,5.156388151548396,0.4092945478953785,2.420737199212713,-14.30336458415929,0.0,0.8668385,392.6177009831494,1.5613918291417797,19.203442,334.70808305913533,12.066953844605104,19.039722,149.1594959701901,9.857540954869242,19.327793,1.2324141,181.8779804875582,49.089650959410925,-0.28807099999999863,12.765170009010731,0.07528136467338879,0.15875241966509937,0.6856581093502118,1.2309663322779487,0.7547111445623041,1.185641103568455,nan,nan,nan,nan,13.017727406201306,3.0613756741548266,12.56346782046093,2.5343579713943623,1.3846546137218438,16.251334073736047,-2.032227545425376,15.092219536214518,DA,SDSS J094225.66+401105.2,WD 0939+404,null
WDJ061932.77-670833.88,5283204120802496000,94.88657956542235,-67.14261891694737,6.422771899999469,0.2865683903533089,4.23807198664056,28.90936000986967,0.0,0.6016197,391.77550745256787,1.2391020845878575,19.205772,277.1994649802006,10.409193702596854,19.244408,159.18266146647315,10.04896979832806,19.257181,1.1138576,277.12562522769355,-27.912880735640897,-0.012772999999999257,13.244384493200972,0.0734527844196961,0.08923511369081395,1.8040536979370931,1.150407191332259,1.6976895311462423,1.1065873844887848,1.662827564590594,1.0728875991329316,1.754149902213853,1.0627408155887668,-21.115128415831347,4.662729624613405,-17.329285874202377,4.918096984367963,-8.71154291829145,5.912957881528102,-4.736193693077691,3.129922672486531,null,null,null,null
WDJ091851.74-052536.93,5758460978157729408,139.71546935614128,-5.426932905608823,5.541252421027876,0.4333355844414169,-30.45252375193516,-1.6014211972338652,0.0,0.6201705,389.8253116480163,1.7469936227331229,19.211191,323.2042730052194,7.6796073487067185,19.077696,175.84802218754362,14.295358422466032,19.149076,1.2801946,237.03967799023104,29.229035794253722,-0.07138000000000133,12.92923067027489,0.08469512333900872,0.15640348120471842,1.4068903219036109,1.1149349121051169,1.3615646301504645,1.0842230922863445,1.3178844140668002,1.0377948786447497,1.3620982626816838,1.0324649824743737,-13.97843658716561,-22.11051303026498,-11.581346646975108,-21.1896816754083,-11.277611079761794,-8.1629760252843,-11.873751477273055,-5.873158143747977,null,null,null,null
WDJ123137.69-045024.97,3680761963078679296,187.9069126086571,-4.8402329521296785,6.135879170904555,0.3765998533899317,-25.555946919148266,8.438612142076416,0.0,0.6810663,389.74588654614956,1.404040850988631,19.211412,307.77149320350975,9.599454597829583,19.130817,178.25063280307822,6.203251633048549,19.134342,1.2470231,293.67424633108675,57.67499499129126,-0.0035249999999997783,13.150795994008664,0.04673242150181693,0.12275334728744769,1.7634711404178591,1.1179643325526352,1.6752244145502149,1.0858514859750985,1.6362375278144594,1.0405750933809166,1.687534888542998,1.0349268755062409,-20.53156722787476,3.6246788145934516,-18.386027220556272,2.71264116104092,-5.638858449310202,12.922285958996227,-1.7520008559544369,16.15131681223422,null,null,null,null
WDJ143534.02+531815.05,1605233036060102144,218.89166750032786,53.30428470506507,5.005440864899632,0.2501539372409459,-9.816001947229054,24.490981378269726,0.5222968629994459,0.4026902,389.49956322133977,1.1513901261020505,19.2121,331.0166134645857,6.160552343677026,19.051764,150.71591442778094,5.647047715843731,19.316523,1.2367986,93.70697150717392,57.51029418274191,-0.2647590000000015,12.709311674572266,0.041835779389728045,0.09995280895041078,0.7109533877028456,1.204592220109229,0.7698577364524007,1.1631177300358126,0.8362687473161176,1.180162665448322,0.9330565703921849,1.16,23.310965437834255,-9.187102181744908,26.26045956179408,-9.377280169318187,11.558135331364685,-14.927862864378213,14.812600400199296,-17.93933486468815,DQ,SDSS J143534.01+531815.0,WD 1433+535,null
